"customer_id","amount"
3330,"78.62"
1503,"31.08"
150,"28.75"
3207,"58.44"
3546,"26.35"
4883,"13.24"
2037,"63.71"
273,"35.88"
978,"48.25"
4084,"20.65"
4127,"43.55"
1512,"82.80"
4670,"66.41"
4720,"105.88"
1084,"44.59"
2933,"45.63"
2320,"75.87"
3381,"76.42"
189,"68.85"
3124,"15.05"
4286,"69.76"
1938,"59.45"
4618,"23.28"
1838,"66.34"
1279,"89.12"
2878,"57.63"
752,"17.83"
4478,"46.93"
4330,"32.88"
2720,"7.89"
4069,"56.02"
1231,"19.92"
3127,"94.56"
3424,"70.14"
3835,"68.43"
3057,"63.94"
3401,"40.61"
3558,"80.50"
4468,"3.80"
1621,"37.93"
3139,"89.01"
4298,"46.07"
3028,"59.74"
247,"25.85"
1301,"44.62"
745,"38.28"
3694,"36.96"
2833,"8.15"
415,"68.01"
2074,"44.64"
3511,"35.84"
1923,"68.97"
149,"28.58"
696,"43.05"
987,"29.66"
2810,"6.19"
1322,"61.67"
3680,"68.67"
2542,"28.68"
4885,"24.85"
4683,"7.65"
4866,"39.94"
3998,"39.91"
702,"34.90"
2547,"62.80"
618,"39.47"
2144,"78.71"
3763,"22.46"
1030,"79.60"
3142,"5.16"
3618,"88.48"
763,"35.73"
3382,"37.91"
1763,"30.51"
545,"56.17"
4915,"51.14"
1177,"24.25"
2512,"27.50"
4602,"36.72"
2198,"72.27"
211,"62.09"
4601,"30.39"
2665,"48.50"
1407,"63.29"
4360,"56.38"
4711,"17.47"
155,"61.59"
3600,"26.61"
1895,"87.57"
3527,"51.71"
3178,"32.41"
1948,"90.17"
2949,"59.71"
3374,"76.90"
4862,"53.32"
4902,"45.38"
4876,"56.46"
546,"95.24"
4242,"29.38"
47,"42.21"
4316,"83.20"
2812,"19.08"
1396,"71.34"
2383,"68.35"
1956,"21.76"
1033,"92.92"
4488,"77.08"
1611,"30.40"
2097,"46.49"
4588,"66.02"
4866,"90.56"
3157,"42.81"
1355,"4.68"
2864,"45.78"
4045,"43.46"
1617,"53.15"
1770,"87.56"
449,"56.05"
4970,"15.85"
1956,"52.35"
4031,"19.52"
1546,"50.98"
3942,"28.07"
1380,"88.48"
1411,"82.20"
2854,"72.76"
3013,"122.97"
843,"87.62"
4885,"15.10"
3502,"65.34"
4815,"18.67"
450,"50.93"
2884,"80.38"
534,"26.08"
4836,"43.81"
509,"61.79"
962,"13.06"
2249,"24.07"
4446,"68.10"
227,"26.56"
1489,"101.75"
281,"82.63"
3401,"57.28"
204,"43.02"
3700,"66.41"
2896,"100.83"
3202,"72.23"
4968,"67.35"
4293,"24.97"
2585,"35.64"
2867,"77.41"
385,"109.64"
26,"64.54"
4957,"49.95"
796,"74.23"
3757,"15.48"
2847,"57.43"
4768,"4.23"
1209,"20.52"
3618,"22.38"
1658,"96.16"
4669,"84.46"
4138,"35.98"
1702,"91.78"
1688,"36.97"
2192,"85.13"
963,"6.18"
1888,"20.97"
3936,"58.79"
1933,"57.60"
819,"44.15"
3514,"67.80"
3464,"46.45"
2047,"37.46"
1925,"21.11"
4126,"70.66"
2031,"33.54"
3239,"64.39"
3657,"25.89"
296,"65.54"
1222,"49.09"
1421,"85.19"
3704,"17.79"
3987,"59.23"
3356,"68.71"
2682,"30.64"
2639,"17.96"
2002,"4.46"
4119,"103.97"
2298,"14.67"
1389,"43.29"
3748,"42.12"
772,"15.00"
430,"44.64"
1531,"52.34"
1810,"58.50"
1374,"82.87"
2365,"38.88"
3808,"28.60"
4739,"36.72"
4435,"22.51"
1061,"65.38"
1775,"65.90"
1564,"77.93"
4012,"47.76"
313,"33.57"
2243,"56.51"
1050,"36.95"
2003,"96.68"
2878,"56.92"
254,"43.88"
3956,"58.91"
4949,"30.12"
2361,"23.42"
3398,"24.88"
1762,"64.65"
2355,"43.90"
2377,"19.04"
2001,"38.43"
2694,"20.91"
2046,"42.56"
4306,"71.94"
4270,"28.42"
1998,"65.81"
3171,"36.47"
4115,"47.03"
2371,"52.25"
182,"43.65"
2478,"81.12"
4639,"86.60"
4281,"62.32"
2305,"55.69"
2390,"19.78"
1774,"52.67"
2110,"48.41"
548,"32.54"
1089,"80.57"
4939,"82.91"
4524,"89.09"
2093,"63.21"
3965,"67.59"
185,"93.30"
4646,"73.53"
3620,"21.76"
1370,"85.65"
3460,"41.32"
2720,"64.71"
4586,"52.27"
2498,"17.93"
888,"94.46"
3346,"54.05"
4947,"18.74"
1204,"17.72"
3429,"34.16"
2396,"8.64"
2031,"38.01"
3113,"76.66"
2215,"24.10"
2653,"75.49"
2545,"58.01"
1551,"31.14"
3007,"41.81"
2658,"39.20"
2766,"26.44"
3408,"27.18"
595,"57.06"
4484,"64.11"
4312,"44.58"
2683,"24.60"
3475,"16.04"
3364,"44.89"
4190,"40.60"
1796,"41.15"
2243,"52.38"
3282,"65.62"
467,"86.04"
3551,"43.67"
4696,"27.12"
2734,"54.31"
492,"79.27"
3111,"91.46"
1915,"6.16"
1046,"43.33"
2545,"54.99"
924,"22.39"
4565,"52.01"
2163,"83.86"
48,"82.37"
3390,"74.15"
646,"64.40"
785,"62.22"
4541,"64.09"
4989,"12.52"
3806,"56.51"
3298,"66.59"
2004,"42.21"
2774,"8.70"
3315,"25.65"
2926,"73.14"
4135,"52.52"
1300,"7.15"
3839,"98.38"
1291,"76.11"
4136,"55.63"
342,"55.22"
3027,"44.69"
537,"8.65"
2750,"101.10"
3627,"22.39"
2119,"29.57"
193,"95.07"
1976,"62.00"
4195,"30.51"
304,"58.44"
1238,"36.76"
3657,"47.01"
2265,"55.36"
757,"78.69"
534,"58.35"
1238,"80.46"
409,"28.50"
2716,"41.35"
4588,"18.45"
1567,"28.49"
1312,"104.51"
3525,"36.24"
4514,"57.17"
1238,"49.28"
4307,"10.89"
1686,"36.20"
443,"66.91"
3552,"28.71"
3564,"12.11"
2160,"31.64"
3575,"92.11"
4590,"43.67"
1181,"68.49"
3761,"30.97"
4610,"3.39"
722,"39.70"
2979,"106.89"
2660,"99.86"
335,"63.26"
4113,"43.18"
2606,"65.09"
1245,"43.38"
1085,"3.34"
2604,"86.96"
2130,"12.40"
341,"63.45"
2079,"89.78"
3583,"67.55"
3722,"86.63"
3407,"66.53"
4133,"51.43"
1404,"49.93"
4094,"9.58"
2048,"30.49"
4236,"79.25"
612,"57.11"
3996,"81.52"
4165,"95.87"
706,"25.26"
141,"54.05"
4028,"68.73"
1776,"45.84"
3381,"12.72"
3485,"57.08"
2283,"78.54"
4352,"55.20"
4842,"31.53"
2784,"3.18"
622,"12.02"
1247,"35.11"
2605,"56.05"
282,"28.13"
1660,"40.17"
2250,"7.00"
530,"73.16"
1067,"73.96"
2927,"63.70"
2853,"42.00"
4199,"26.99"
4068,"26.09"
2855,"55.15"
192,"9.19"
3071,"20.09"
307,"53.12"
818,"31.50"
4673,"21.16"
3050,"26.32"
2249,"42.81"
2266,"38.00"
1033,"12.45"
3054,"88.57"
4866,"79.63"
200,"4.27"
3875,"69.30"
1355,"60.16"
835,"81.27"
1301,"50.56"
2031,"56.73"
3230,"56.16"
4215,"13.47"
1413,"45.47"
571,"78.87"
424,"95.95"
3528,"86.32"
635,"51.73"
2198,"95.62"
2312,"121.20"
4167,"8.35"
559,"9.20"
3099,"72.37"
3709,"89.14"
2547,"6.78"
4366,"12.17"
3393,"47.59"
2567,"48.93"
3166,"44.75"
1735,"22.49"
207,"37.13"
4666,"83.99"
3489,"70.35"
2379,"11.69"
1966,"36.34"
908,"41.62"
3233,"12.13"
2117,"73.58"
3155,"61.60"
3912,"69.38"
2348,"54.87"
973,"84.65"
414,"79.39"
4716,"70.82"
4330,"56.31"
902,"17.00"
3221,"71.75"
1277,"72.37"
2190,"20.89"
1994,"21.10"
3487,"66.64"
584,"27.83"
3206,"70.36"
2312,"26.07"
1422,"17.79"
2659,"81.34"
3444,"79.98"
2156,"42.25"
1053,"57.92"
2259,"22.97"
1149,"26.08"
873,"10.78"
421,"39.87"
4829,"41.70"
1073,"27.37"
4891,"71.82"
443,"71.63"
4865,"17.08"
2436,"45.38"
2286,"17.60"
1096,"90.30"
1126,"96.81"
1763,"99.70"
3391,"38.82"
4863,"110.44"
4117,"22.03"
3260,"66.89"
126,"63.58"
1093,"49.92"
2012,"27.88"
4173,"8.47"
487,"66.83"
2907,"80.10"
627,"70.58"
4887,"21.40"
1,"14.70"
4144,"13.62"
1071,"40.74"
2997,"66.83"
235,"42.04"
3701,"16.27"
3185,"13.11"
1849,"62.01"
3743,"90.20"
4501,"28.82"
3709,"61.07"
2387,"17.54"
1352,"87.08"
2978,"36.14"
3211,"61.26"
507,"25.11"
509,"71.21"
3728,"4.47"
1221,"35.02"
218,"79.91"
4736,"84.85"
1190,"61.20"
1698,"53.08"
1944,"3.40"
4686,"68.41"
2939,"28.29"
1151,"66.51"
3763,"21.91"
3128,"34.72"
936,"47.96"
4217,"55.61"
1462,"62.79"
1490,"54.18"
466,"50.83"
2715,"11.47"
4761,"26.74"
2637,"57.35"
1195,"70.87"
616,"20.92"
1841,"56.13"
3503,"87.62"
1529,"49.07"
4234,"44.59"
4920,"92.35"
345,"78.13"
75,"32.64"
4119,"44.38"
3122,"14.88"
4704,"66.26"
1667,"51.39"
510,"14.90"
3974,"56.53"
730,"44.19"
3791,"23.92"
4273,"81.05"
3086,"56.79"
4183,"3.60"
4784,"51.28"
602,"59.63"
148,"14.71"
748,"41.76"
467,"18.45"
2335,"54.05"
1278,"74.18"
2108,"58.10"
3215,"40.65"
1948,"101.87"
1319,"60.86"
571,"29.94"
4783,"61.56"
3291,"19.00"
879,"16.23"
2106,"47.20"
2130,"90.37"
4112,"76.28"
238,"30.12"
1388,"7.44"
582,"62.90"
2260,"7.76"
3554,"69.39"
3471,"84.76"
1352,"86.16"
526,"38.50"
3730,"42.48"
3879,"21.63"
4212,"73.37"
454,"62.66"
3251,"58.04"
2827,"16.54"
4743,"26.93"
2268,"5.57"
260,"37.48"
940,"48.75"
4617,"74.87"
2078,"70.48"
3478,"23.68"
3593,"49.69"
3957,"16.93"
1840,"20.31"
327,"65.72"
464,"54.45"
4715,"77.79"
987,"61.13"
4731,"52.27"
1825,"49.24"
3190,"92.62"
844,"61.28"
4649,"41.88"
12,"21.50"
1025,"9.62"
88,"8.15"
17,"70.91"
629,"39.04"
2720,"45.74"
2740,"34.83"
3874,"33.84"
1269,"96.36"
3067,"79.04"
4231,"77.76"
561,"40.51"
824,"19.29"
2534,"42.95"
1374,"123.54"
3896,"38.64"
4177,"78.30"
484,"95.32"
2973,"44.62"
1643,"40.60"
877,"77.65"
1872,"69.51"
3913,"8.05"
1452,"13.81"
3735,"46.68"
1452,"55.23"
2039,"31.06"
2000,"28.88"
210,"38.73"
1115,"86.23"
1177,"3.40"
3190,"46.32"
525,"52.98"
230,"64.84"
4219,"61.62"
3266,"65.76"
2075,"83.14"
