"pay_method_id","amount"
2,"78.62"
1,"31.08"
4,"28.75"
4,"58.44"
3,"26.35"
1,"13.24"
1,"63.71"
3,"35.88"
1,"48.25"
4,"20.65"
2,"43.55"
2,"82.80"
4,"66.41"
1,"105.88"
4,"44.59"
2,"45.63"
3,"75.87"
1,"76.42"
3,"68.85"
4,"15.05"
2,"69.76"
4,"59.45"
2,"23.28"
1,"66.34"
1,"89.12"
1,"57.63"
3,"17.83"
2,"46.93"
3,"32.88"
4,"7.89"
1,"56.02"
1,"19.92"
2,"94.56"
3,"70.14"
1,"68.43"
2,"63.94"
4,"40.61"
3,"80.50"
3,"3.80"
2,"37.93"
4,"89.01"
4,"46.07"
1,"59.74"
3,"25.85"
4,"44.62"
2,"38.28"
4,"36.96"
4,"8.15"
1,"68.01"
1,"44.64"
3,"35.84"
2,"68.97"
4,"28.58"
4,"43.05"
1,"29.66"
4,"6.19"
2,"61.67"
4,"68.67"
2,"28.68"
3,"24.85"
1,"7.65"
3,"39.94"
1,"39.91"
3,"34.90"
1,"62.80"
2,"39.47"
4,"78.71"
4,"22.46"
2,"79.60"
3,"5.16"
4,"88.48"
2,"35.73"
2,"37.91"
3,"30.51"
2,"56.17"
1,"51.14"
3,"24.25"
3,"27.50"
4,"36.72"
1,"72.27"
2,"62.09"
4,"30.39"
2,"48.50"
4,"63.29"
3,"56.38"
2,"17.47"
1,"61.59"
4,"26.61"
1,"87.57"
4,"51.71"
3,"32.41"
1,"90.17"
4,"59.71"
3,"76.90"
3,"53.32"
4,"45.38"
2,"56.46"
1,"95.24"
1,"29.38"
1,"42.21"
4,"83.20"
4,"19.08"
2,"71.34"
4,"68.35"
1,"21.76"
4,"92.92"
1,"77.08"
3,"30.40"
2,"46.49"
4,"66.02"
4,"90.56"
3,"42.81"
4,"4.68"
3,"45.78"
2,"43.46"
2,"53.15"
3,"87.56"
1,"56.05"
3,"15.85"
4,"52.35"
4,"19.52"
4,"50.98"
4,"28.07"
4,"88.48"
4,"82.20"
4,"72.76"
2,"122.97"
2,"87.62"
