"rental_id","film_id"
1,132
1,547
1,37
1,255
1,625
2,333
2,708
3,454
3,246
3,30
4,138
4,163
4,121
4,457
5,793
6,531
6,205
7,145
7,195
7,771
7,593
8,5
8,553
9,670
9,42
9,599
10,77
11,415
11,418
11,728
12,35
12,536
12,264
12,422
12,109
13,340
13,432
13,473
13,748
13,544
14,217
14,165
14,793
14,250
14,782
15,586
15,647
16,617
16,533
16,95
17,560
17,77
17,770
17,6
17,97
18,323
18,161
18,340
18,208
19,713
19,140
19,4
19,575
20,387
21,31
21,524
21,328
21,323
21,542
22,426
22,102
22,160
23,694
23,168
23,744
24,735
24,15
24,236
24,600
25,318
25,19
25,162
25,264
26,765
26,702
26,668
27,257
28,327
28,651
29,737
29,763
30,270
31,651
31,436
31,149
31,599
32,681
33,195
33,729
33,40
33,57
33,155
34,516
34,445
34,193
34,762
35,796
35,773
35,657
35,573
36,440
36,537
36,120
37,277
37,563
38,693
38,281
38,288
38,88
38,280
39,295
40,574
40,489
41,183
41,309
41,72
41,286
41,540
42,224
42,743
42,658
43,531
43,180
43,12
43,731
44,553
44,49
45,606
45,751
45,298
46,138
46,639
47,295
47,673
47,301
48,12
49,744
49,424
49,322
50,798
50,707
50,328
50,303
51,262
51,80
52,756
52,544
52,408
52,238
53,320
54,547
54,116
54,57
55,498
55,287
56,680
57,431
57,786
57,200
57,546
57,682
58,418
58,232
58,677
58,227
58,496
59,265
59,231
60,25
61,209
62,721
62,263
62,61
63,193
63,728
64,137
64,543
65,318
65,350
65,108
66,105
66,444
66,551
66,3
67,686
67,8
67,690
67,24
68,246
69,441
69,133
69,6
69,776
70,145
71,716
71,68
71,649
71,614
72,212
72,280
73,95
73,321
74,502
74,343
74,308
75,195
75,428
75,533
76,543
76,586
76,72
77,195
78,250
79,511
79,749
80,231
80,359
80,514
80,42
81,614
81,53
81,617
81,78
82,578
82,22
83,640
83,782
83,607
83,476
84,529
84,222
84,31
84,7
85,631
85,790
85,658
85,767
85,45
86,778
87,444
87,170
87,320
87,490
88,496
89,640
89,600
89,471
89,34
90,289
90,283
90,743
91,235
91,2
92,556
92,162
92,772
92,165
92,756
93,236
93,325
93,147
94,439
94,717
94,512
94,175
94,76
95,158
95,546
95,528
96,208
96,694
96,440
97,522
97,586
97,111
97,333
97,687
98,793
98,602
98,432
98,698
98,746
99,444
99,123
99,497
100,529
100,523
100,328
101,127
101,590
101,318
101,154
102,520
102,426
103,99
103,105
103,664
104,227
104,19
104,763
104,800
105,584
106,191
106,4
106,792
106,189
106,261
107,711
107,383
107,562
107,662
107,359
108,163
108,341
109,380
109,775
110,697
110,441
110,494
111,85
111,372
111,427
111,461
111,664
112,108
112,652
112,35
112,311
113,770
114,625
114,452
114,368
114,633
115,332
115,405
115,18
115,391
116,137
116,462
116,592
116,257
117,263
117,507
117,408
117,587
117,777
118,777
118,402
118,35
118,202
119,273
119,110
120,682
120,17
121,455
122,639
122,467
122,456
122,354
123,591
123,712
123,122
124,674
124,614
124,367
124,669
125,606
125,664
125,254
125,396
126,673
126,154
126,242
126,4
126,178
127,115
127,77
127,352
127,536
127,596
128,611
128,372
128,191
128,155
128,502
129,65
130,714
130,428
130,277
130,15
131,169
132,25
132,764
132,260
133,248
133,119
133,99
133,76
134,385
135,66
135,88
135,33
136,534
136,14
136,682
136,232
136,155
137,526
138,587
138,154
139,187
139,796
139,39
140,456
140,130
141,2
141,78
141,627
141,723
141,180
142,648
142,348
142,340
142,480
142,389
143,158
143,769
143,454
143,721
144,794
144,507
144,233
145,20
145,670
145,733
145,120
146,501
146,496
146,289
146,228
146,274
147,293
147,177
147,73
147,232
148,650
148,226
148,800
148,315
149,495
150,643
150,658
151,569
151,182
151,646
151,501
151,372
152,413
152,189
152,516
152,278
152,703
153,346
153,273
153,457
153,461
153,335
154,659
154,124
154,526
154,609
155,343
155,360
155,188
155,183
156,437
157,329
157,616
157,158
157,701
158,629
159,59
159,69
160,26
161,527
161,515
161,365
161,620
161,533
162,174
162,519
162,226
162,588
163,197
163,631
164,162
164,407
164,486
164,673
165,580
165,241
166,422
166,650
166,269
166,676
167,13
168,543
169,490
169,219
169,735
170,770
170,638
170,223
170,752
171,48
171,370
171,757
172,182
172,342
172,294
173,350
173,755
173,496
173,256
174,488
174,19
174,2
175,346
176,598
176,656
176,562
176,714
177,598
177,311
178,733
178,134
178,564
178,272
178,526
179,786
179,78
180,549
180,779
180,147
180,373
180,726
181,687
181,330
181,429
181,770
182,231
182,522
182,685
182,485
183,602
184,33
184,116
184,341
185,599
185,136
185,694
185,789
186,260
186,770
187,294
188,550
189,314
189,486
189,355
189,585
189,492
190,554
190,622
191,296
191,188
192,359
192,54
192,615
193,359
194,283
194,258
195,171
195,181
195,141
195,264
196,675
196,79
196,90
196,508
196,67
197,793
197,733
197,698
197,650
197,67
198,399
198,475
198,205
199,17
200,110
200,258
201,302
202,429
202,214
202,598
203,615
203,479
203,184
204,521
204,706
204,341
204,374
205,254
205,700
205,410
205,401
206,91
206,750
207,418
207,337
207,542
207,15
208,686
208,552
209,568
209,458
209,609
209,561
209,653
210,133
210,463
210,745
211,514
211,504
211,794
212,486
212,93
212,459
213,206
213,334
214,468
215,385
216,12
216,5
216,604
216,382
217,789
217,229
217,796
218,302
219,693
219,424
220,416
221,141
221,412
221,10
222,480
222,355
222,787
222,62
222,307
223,661
224,338
224,702
224,66
225,139
225,3
225,41
225,388
226,614
226,455
226,544
227,718
227,652
227,583
228,475
228,484
228,735
229,23
229,540
229,185
229,748
230,311
230,290
230,494
230,78
230,501
231,13
231,761
231,612
231,410
232,359
232,783
232,568
233,493
234,633
234,337
234,76
234,174
235,385
235,569
235,634
235,712
236,243
236,648
237,549
237,403
237,752
237,799
237,192
238,636
238,287
238,132
238,519
239,686
239,367
239,265
239,448
240,218
240,645
240,547
241,106
241,280
241,354
241,218
242,764
242,49
242,665
242,66
242,404
243,695
243,468
243,224
243,440
243,603
244,350
245,177
245,587
245,527
245,771
245,600
246,250
246,293
246,96
246,53
247,358
247,34
247,269
248,568
248,644
248,796
248,225
249,236
250,272
250,409
250,562
250,721
250,416
251,795
251,632
251,101
252,63
253,413
254,677
254,386
255,115
256,760
256,222
257,660
257,579
257,583
257,121
257,640
258,761
259,523
259,659
259,562
259,357
259,10
260,569
260,282
260,311
260,201
261,435
261,633
262,613
262,543
263,61
263,14
264,34
264,610
264,258
265,667
266,644
266,194
266,129
267,221
267,723
267,568
267,3
268,307
268,359
268,195
269,732
270,111
271,587
271,100
272,196
272,515
273,715
273,702
274,85
274,178
274,776
275,31
275,280
275,267
275,540
276,277
276,636
276,191
276,698
276,224
